iter	Passed	Remaining
0	39	23530
1	70	21019
2	109	21854
3	142	21303
4	174	20748
5	221	21908
6	247	20946
7	254	18854
8	283	18617
9	316	18696
10	327	17535
11	360	17662
12	395	17865
13	430	18028
14	461	18007
15	502	18331
16	537	18450
17	571	18482
18	608	18618
19	644	18703
20	678	18720
21	712	18707
22	757	18998
23	793	19041
24	800	18420
25	833	18403
26	872	18517
27	906	18518
28	948	18667
29	982	18671
30	1017	18671
31	1050	18642
32	1079	18553
33	1106	18426
34	1138	18386
35	1168	18313
36	1194	18177
37	1219	18036
38	1248	17959
39	1279	17914
40	1321	18020
41	1348	17912
42	1388	17981
43	1413	17860
44	1446	17844
45	1475	17771
46	1510	17770
47	1537	17682
48	1564	17594
49	1591	17506
50	1620	17444
51	1652	17417
52	1678	17324
53	1714	17336
54	1743	17272
55	1769	17193
56	1808	17232
57	1835	17157
58	1890	17330
59	1918	17264
60	1947	17206
61	1979	17175
62	2013	17166
63	2048	17154
64	2075	17085
65	2108	17060
66	2150	17108
67	2176	17028
68	2215	17053
69	2249	17032
70	2282	17009
71	2316	16985
72	2349	16960
73	2376	16889
74	2413	16895
75	2440	16830
76	2471	16788
77	2500	16733
78	2539	16749
79	2576	16750
80	2612	16739
81	2647	16724
82	2675	16663
83	2702	16603
84	2729	16535
85	2755	16471
86	2784	16418
87	2817	16392
88	2846	16345
89	2877	16306
90	2914	16303
91	2949	16285
92	2975	16218
93	2998	16139
94	3037	16147
95	3071	16125
96	3098	16069
97	3148	16125
98	3188	16135
99	3220	16102
100	3249	16053
101	3282	16026
102	3318	16012
103	3348	15970
104	3388	15972
105	3423	15955
106	3465	15969
107	3499	15940
108	3525	15882
109	3555	15837
110	3582	15782
111	3615	15751
112	3641	15694
113	3670	15649
114	3696	15589
115	3732	15572
116	3757	15513
117	3786	15466
118	3813	15414
119	3847	15389
120	3874	15338
121	3913	15332
122	3937	15270
123	3966	15224
124	3995	15184
125	4032	15168
126	4056	15108
127	4093	15094
128	4134	15094
129	4181	15117
130	4212	15082
131	4256	15089
132	4292	15071
133	4339	15091
134	4377	15077
135	4404	15026
136	4450	15041
137	4496	15055
138	4523	15002
139	4548	14944
140	4592	14948
141	4633	14946
142	4662	14899
143	4695	14869
144	4723	14822
145	4757	14793
146	4786	14749
147	4820	14722
148	4849	14678
149	4886	14658
150	4909	14598
151	4938	14554
152	4964	14502
153	4990	14452
154	5022	14418
155	5051	14376
156	5081	14339
157	5120	14324
158	5150	14286
159	5184	14257
160	5213	14215
161	5241	14171
162	5258	14097
163	5288	14059
164	5315	14012
165	5343	13969
166	5376	13940
167	5413	13920
168	5444	13884
169	5477	13855
170	5511	13826
171	5538	13780
172	5594	13807
173	5621	13761
174	5645	13709
175	5671	13664
176	5708	13642
177	5737	13601
178	5774	13581
179	5805	13545
180	5829	13494
181	5862	13463
182	5896	13436
183	5939	13427
184	5969	13389
185	5998	13351
186	6030	13318
187	6055	13271
188	6084	13230
189	6113	13192
190	6148	13165
191	6189	13152
192	6218	13113
193	6244	13067
194	6272	13028
195	6302	12991
196	6331	12952
197	6359	12912
198	6385	12867
199	6419	12838
200	6473	12851
201	6498	12803
202	6525	12761
203	6568	12751
204	6604	12724
205	6641	12701
206	6671	12665
207	6712	12651
208	6740	12611
209	6777	12586
210	6804	12545
211	6832	12505
212	6864	12471
213	6902	12449
214	6932	12414
215	6962	12378
216	6994	12345
217	7025	12311
218	7053	12271
219	7096	12258
220	7132	12231
221	7166	12202
222	7199	12170
223	7226	12129
224	7264	12107
225	7299	12079
226	7336	12055
227	7382	12044
228	7415	12013
229	7439	11967
230	7482	11953
231	7511	11914
232	7536	11871
233	7572	11844
234	7601	11806
235	7609	11737
236	7645	11710
237	7678	11678
238	7719	11660
239	7750	11625
240	7778	11587
241	7818	11566
242	7852	11536
243	7891	11513
244	7921	11478
245	7946	11435
246	7978	11402
247	8013	11373
248	8039	11332
249	8072	11301
250	8105	11270
251	8137	11237
252	8163	11196
253	8190	11156
254	8226	11129
255	8253	11090
256	8286	11059
257	8313	11019
258	8339	10980
259	8375	10952
260	8405	10917
261	8445	10895
262	8471	10854
263	8483	10797
264	8510	10758
265	8536	10719
266	8569	10687
267	8596	10649
268	8622	10610
269	8648	10570
270	8672	10528
271	8698	10488
272	8733	10461
273	8758	10420
274	8793	10392
275	8821	10355
276	8852	10322
277	8879	10284
278	8920	10262
279	8948	10226
280	8978	10193
281	9008	10158
282	9034	10120
283	9060	10081
284	9103	10061
285	9135	10030
286	9165	9995
287	9190	9956
288	9224	9926
289	9248	9886
290	9273	9847
291	9310	9820
292	9340	9787
293	9381	9764
294	9410	9729
295	9437	9692
296	9463	9655
297	9488	9615
298	9515	9579
299	9553	9553
300	9578	9515
301	9605	9477
302	9632	9441
303	9661	9406
304	9692	9374
305	9730	9349
306	9768	9323
307	9795	9286
308	9842	9269
309	9891	9253
310	9920	9219
311	9949	9184
312	9989	9159
313	10015	9122
314	10039	9083
315	10073	9053
316	10116	9031
317	10141	8993
318	10185	8971
319	10210	8934
320	10265	8922
321	10292	8886
322	10321	8851
323	10357	8822
324	10385	8787
325	10412	8751
326	10445	8720
327	10484	8694
328	10510	8657
329	10538	8622
330	10565	8586
331	10594	8552
332	10626	8520
333	10658	8488
334	10687	8454
335	10714	8418
336	10742	8383
337	10771	8349
338	10796	8312
339	10823	8276
340	10850	8241
341	10876	8205
342	10903	8169
343	10941	8142
344	10966	8105
345	10995	8071
346	11017	8033
347	11045	7998
348	11071	7962
349	11097	7927
350	11127	7894
351	11170	7869
352	11200	7837
353	11236	7808
