iter	MultiClass
0	1.511529401
1	1.367982342
2	1.292185055
3	1.208051521
4	1.128006577
5	1.062848585
6	0.9943609874
7	0.9460539043
8	0.9029403436
9	0.8625000949
10	0.8218578737
11	0.7879886947
12	0.7509304844
13	0.718767184
14	0.6893282429
15	0.6584626354
16	0.6316009985
17	0.6061365437
18	0.5846985279
19	0.5639876371
20	0.542148898
21	0.5274761771
22	0.5107585728
23	0.498722373
24	0.4834594392
25	0.4691883778
26	0.4539587224
27	0.4406371295
28	0.4274711852
29	0.4169158855
30	0.4043479712
31	0.3951165097
32	0.3877731071
33	0.3793637568
34	0.373245226
35	0.3666104411
36	0.3600975937
37	0.3535675851
38	0.3470586383
39	0.3417237317
40	0.3359899443
41	0.3285948022
42	0.3232183791
43	0.3189940516
44	0.3142025495
45	0.3085210885
46	0.3039809123
47	0.3001310582
48	0.2959003455
49	0.2924092056
50	0.2886667667
51	0.2843919534
52	0.2797395397
53	0.2759810985
54	0.2720892047
55	0.2679900104
56	0.2638211247
57	0.2603806471
58	0.257426227
59	0.2540736346
60	0.2513255888
61	0.2480558127
62	0.2456162605
63	0.2426309542
64	0.2405500086
65	0.2386201847
66	0.2361781015
67	0.2331789039
68	0.2303809022
69	0.2278179867
70	0.2259597601
71	0.2239801489
72	0.2215889398
73	0.2194155658
74	0.2176174818
75	0.2157980852
76	0.2141381451
77	0.2121120608
78	0.2102555028
79	0.2087464706
80	0.2071863214
81	0.205712672
82	0.204369213
83	0.2018919743
84	0.200175547
85	0.1986446644
86	0.1970533721
87	0.1953749256
88	0.1937687066
89	0.192052186
90	0.1904872609
91	0.189212221
92	0.1875931464
93	0.1860657612
94	0.1849721925
95	0.1838023056
96	0.1824483379
97	0.1811988872
98	0.1801166822
99	0.1790768589
100	0.1781301928
101	0.1768786128
102	0.1754875475
103	0.1742104319
104	0.1729575855
105	0.1718472391
106	0.1705215536
107	0.1694735478
108	0.1682534743
109	0.1667891394
110	0.1656435121
111	0.1642496566
112	0.1630956014
113	0.1615711156
114	0.160736115
115	0.15964544
116	0.1586011959
117	0.1573695978
118	0.1560240704
119	0.155019729
120	0.1539652732
121	0.1529866378
122	0.1518340516
123	0.150565285
124	0.1494319526
125	0.1486000032
126	0.1475629914
127	0.1468493633
128	0.1460443948
129	0.1451118195
130	0.1442482913
131	0.1431572014
132	0.1420681565
133	0.1412147322
134	0.1404446409
135	0.1396973911
136	0.1388073788
137	0.137930631
138	0.1369182651
139	0.1362538118
140	0.135157926
141	0.1343794782
142	0.1335582239
143	0.1329524153
144	0.1322179472
145	0.1315031505
146	0.1304717834
147	0.129838061
148	0.1292896888
149	0.1286441634
150	0.1280075118
151	0.1273889168
152	0.1267207925
153	0.1259152775
154	0.1249346389
155	0.124230136
156	0.1233774196
157	0.1227990559
158	0.1220829858
159	0.1211633332
160	0.1204964024
161	0.1200110162
162	0.119371543
163	0.1187192431
164	0.1180763786
165	0.1174016591
166	0.1167516162
167	0.1161916697
168	0.1156572283
169	0.1150484463
170	0.1144671761
171	0.1139291139
172	0.1132138341
173	0.1126790163
174	0.1122048499
175	0.1115287885
176	0.1110146554
177	0.1104177868
178	0.109827718
179	0.1093100347
180	0.1086660395
181	0.1081474513
182	0.1076149551
183	0.107211248
184	0.1066412702
185	0.1059370577
186	0.105384649
187	0.1049451813
188	0.1043244717
189	0.1038972728
190	0.1033720291
191	0.1029566642
192	0.1025790313
193	0.1020879035
194	0.1016120626
195	0.1011963988
196	0.1004813818
197	0.1000087022
198	0.09954489613
199	0.09913782507
200	0.09864774278
201	0.09826124845
202	0.09783504831
203	0.09731084292
204	0.09671756914
205	0.09632639097
206	0.09599508348
207	0.09556188828
208	0.09516263463
209	0.09477563162
210	0.09429057522
211	0.09393121485
212	0.0934623263
213	0.09301226255
214	0.09263781182
215	0.09221537909
216	0.0918131343
217	0.09138338385
218	0.09096470195
219	0.09060429962
220	0.09014182534
221	0.08984001883
222	0.08939031629
223	0.08896531744
224	0.08864065992
225	0.08829391118
226	0.08797918449
227	0.08766045146
228	0.08727009117
229	0.08696708352
230	0.08665079678
231	0.08625292117
232	0.08593588597
233	0.08561189127
234	0.08534770155
235	0.08495044094
236	0.08454441616
237	0.08415806414
238	0.08378945147
239	0.08353275109
240	0.08326263163
241	0.08286953336
242	0.08247731485
243	0.08209257903
244	0.08177179407
245	0.0813553486
246	0.0809747177
247	0.08057904443
248	0.0801806172
249	0.07984841402
250	0.07949041594
251	0.07920675032
252	0.07882712923
253	0.07843907712
254	0.07809941686
255	0.07782192365
256	0.07741295113
257	0.07714367302
258	0.07686578517
259	0.07666184949
260	0.07631704949
261	0.07588312669
262	0.07551847383
263	0.07521055787
264	0.07488368021
265	0.07456429845
266	0.07432145304
267	0.07406450794
268	0.07380482745
269	0.07355152928
270	0.07322815083
271	0.07285744972
272	0.07255773373
273	0.07235926686
274	0.07212110953
275	0.07182629428
276	0.07151870133
277	0.07118627742
278	0.07097744287
279	0.07079379354
280	0.07053923832
281	0.07024631628
282	0.07004977399
283	0.06977529044
284	0.06957093698
285	0.06922923052
286	0.06889700233
287	0.06859966573
288	0.06841393207
289	0.0680946727
290	0.06785522228
291	0.06763790266
292	0.06742992355
293	0.0672291356
294	0.06707052135
295	0.06678184986
296	0.06651936751
297	0.06629843533
298	0.06611629173
299	0.0658881053
300	0.06567093061
301	0.0654389079
302	0.0652344741
303	0.06495461164
304	0.06473843348
305	0.06454109658
306	0.06430319439
307	0.06411223068
308	0.06393590036
309	0.06374632434
310	0.0635323792
311	0.06326633615
312	0.0631129863
313	0.06292792455
314	0.0627151224
315	0.06251250898
316	0.06236854378
317	0.06216690656
318	0.06191459186
319	0.06178011947
320	0.06160864506
321	0.06148255459
322	0.06130968059
323	0.06104597117
324	0.06080504843
325	0.0606040025
326	0.0604124858
327	0.06008825059
328	0.05986133559
329	0.05965479413
330	0.05937551947
331	0.05921598218
332	0.05902638624
333	0.05878791809
334	0.05856356371
335	0.0584022708
336	0.05822229709
337	0.05796734552
338	0.05787486043
339	0.05773373691
340	0.05758054253
341	0.05736564754
342	0.05722508232
343	0.05710486076
344	0.05688751514
345	0.05667607381
346	0.05655443705
347	0.05639044647
348	0.05617255436
349	0.05600240994
350	0.05581621783
351	0.0555539755
352	0.05539674188
353	0.0552407886
354	0.05508023748
355	0.05493780488
356	0.05479757097
357	0.05461016298
358	0.05448407524
359	0.05435420331
360	0.05420371357
361	0.05403625839
362	0.05383004506
363	0.05369807662
364	0.05354599191
365	0.05336718623
366	0.05316466499
367	0.05297949062
368	0.05280349706
369	0.05263652339
370	0.05253503219
371	0.05231529653
372	0.05214580802
373	0.05199672279
374	0.05180977406
375	0.05167396391
376	0.05148960695
377	0.05133050211
378	0.05116120039
379	0.05096429328
380	0.05079921843
381	0.05064716823
382	0.0505377363
383	0.05037276929
384	0.05021089147
385	0.05003416393
386	0.04990642218
387	0.04977689394
388	0.04958364317
389	0.0494645811
390	0.04936653503
391	0.04924814152
392	0.04909214482
393	0.04898944123
394	0.04884488595
395	0.04866710854
396	0.04851633766
397	0.04836617136
398	0.04821067226
399	0.04811398743
400	0.04798632399
401	0.04779632031
402	0.04769955964
403	0.04760931148
404	0.04750616399
405	0.04740933571
406	0.04722622749
407	0.04710154628
408	0.04696973201
409	0.04687120036
410	0.0467201258
411	0.04652290621
412	0.04642131648
413	0.04633232725
414	0.0462120988
415	0.0460758591
416	0.04595461503
417	0.04579393134
418	0.04564214981
419	0.04550119743
420	0.04539092008
421	0.04523990383
422	0.04515484026
423	0.04498590505
424	0.04488884391
425	0.04479267484
426	0.04461579791
427	0.04443410956
428	0.04429126374
429	0.04416033303
430	0.04396771224
431	0.04377329467
432	0.04366567703
433	0.04358280992
434	0.04347801787
435	0.04337432847
436	0.04323460888
437	0.04312077638
438	0.04306542679
439	0.04298532662
440	0.04286542087
441	0.04274564954
442	0.04264867541
443	0.0425228274
444	0.04241845336
445	0.04226260491
446	0.04212838114
447	0.04197327174
448	0.04180309867
449	0.04167286596
450	0.04159201344
451	0.04152451942
452	0.04139192386
453	0.04128301478
454	0.04117836771
455	0.0410624216
456	0.041002717
457	0.04091327329
458	0.04079976304
459	0.04068455473
460	0.04058522588
461	0.04048273838
462	0.04037189598
463	0.0401994816
464	0.04010777317
465	0.03998604785
466	0.03987534546
467	0.03975866556
468	0.03967130024
469	0.03960954554
470	0.03949995117
471	0.03940664848
472	0.03928050287
473	0.03918166516
474	0.03908715301
475	0.0390154956
476	0.03894300686
477	0.03885534774
478	0.0387655728
479	0.03867717441
480	0.03855915146
481	0.03849837026
482	0.03843073644
483	0.03835194452
484	0.03828328825
485	0.03820015678
486	0.03809046725
487	0.03790857409
488	0.03783926432
489	0.03772907364
490	0.03764274566
491	0.03755381678
492	0.03746628344
493	0.03739240219
494	0.03731101982
495	0.03724447232
496	0.0371655709
497	0.03707513218
498	0.03700071181
499	0.03690174869
500	0.03677118229
501	0.03669906174
502	0.0366227927
503	0.03654850759
504	0.03649554604
505	0.03637809542
506	0.03629197615
507	0.03619431703
508	0.03610722827
509	0.03603735271
510	0.03595351411
511	0.03585539584
512	0.03577893182
513	0.03569949848
514	0.03562088161
515	0.03553331461
516	0.03546450382
517	0.03539015845
518	0.03529016171
519	0.03521478693
520	0.03516030617
521	0.0350594612
522	0.03500060146
523	0.03491502903
524	0.03485621756
525	0.03474456591
526	0.03466637457
527	0.03459858589
528	0.03450958657
529	0.03440913014
530	0.03431832937
531	0.03424187685
532	0.03417906447
533	0.03410987126
534	0.03402333738
535	0.03394821362
536	0.03390518742
537	0.03383340677
538	0.03377226089
539	0.03370269194
540	0.03364281325
541	0.0335522138
542	0.03347830697
543	0.0334112634
544	0.0333414329
545	0.03327928879
546	0.03321315837
547	0.03316342178
548	0.03307878846
549	0.03301626136
550	0.03296580527
551	0.03292582597
552	0.03285513209
553	0.03282110635
554	0.03273643754
555	0.03264421559
556	0.03254765949
557	0.03248318023
558	0.03244313668
559	0.03235852616
560	0.03229862091
561	0.0322240724
562	0.03212811586
563	0.03205173109
564	0.03198854885
565	0.03193469229
566	0.0318801149
567	0.03181016957
568	0.03170945937
569	0.03164587138
570	0.03156550571
571	0.03148445204
572	0.03140295476
573	0.0313332037
574	0.03125119397
575	0.03115836494
576	0.03112087469
577	0.03108007151
578	0.03105601193
579	0.03098931502
580	0.03093610474
581	0.03085837234
582	0.03077367171
583	0.03072418229
584	0.03065877743
585	0.03059520447
586	0.03050167024
587	0.03045350645
588	0.03039282109
589	0.0303342419
590	0.03026835044
