iter	Passed	Remaining
0	110	66282
1	172	51521
2	230	45827
3	291	43446
4	349	41592
5	411	40743
6	473	40146
7	531	39298
8	592	38893
9	653	38562
10	709	37974
11	766	37562
12	825	37268
13	887	37144
14	949	37017
15	1007	36778
16	1067	36601
17	1126	36424
18	1186	36285
19	1245	36129
20	1305	35992
21	1363	35815
22	1426	35794
23	1489	35741
24	1549	35646
25	1611	35587
26	1675	35559
27	1735	35453
28	1798	35404
29	1858	35320
30	1918	35216
31	1977	35103
32	2034	34963
33	2098	34929
34	2161	34887
35	2218	34760
36	2278	34673
37	2339	34595
38	2400	34529
39	2461	34458
40	2518	34334
41	2574	34208
42	2634	34121
43	2692	34019
44	2754	33973
45	2813	33882
46	2871	33789
47	2931	33711
48	2992	33648
49	3051	33566
50	3114	33523
51	3189	33610
52	3252	33564
53	3311	33483
54	3372	33416
55	3434	33362
56	3492	33270
57	3549	33173
58	3608	33089
59	3667	33006
60	3725	32921
61	3788	32874
62	3846	32789
63	3904	32703
64	3962	32613
65	4021	32540
66	4082	32480
67	4141	32397
68	4200	32326
69	4257	32236
70	4316	32164
71	4379	32119
72	4436	32028
73	4496	31960
74	4557	31905
75	4617	31835
76	4679	31781
77	4735	31693
78	4795	31626
79	4855	31561
80	4916	31499
81	4971	31408
82	5034	31358
83	5090	31270
84	5152	31218
85	5213	31161
86	5272	31090
87	5335	31040
88	5393	30965
89	5450	30885
90	5507	30803
91	5565	30731
92	5627	30679
93	5689	30624
94	5749	30560
95	5809	30498
96	5872	30452
97	5932	30387
98	5994	30335
99	6053	30268
100	6111	30194
101	6172	30135
102	6233	30079
103	6291	30006
104	6351	29940
105	6408	29866
106	6470	29810
107	6527	29737
108	6586	29668
109	6642	29590
110	6705	29539
111	6768	29489
112	6824	29413
113	6881	29336
114	6943	29283
115	7006	29235
116	7064	29165
117	7122	29091
118	7184	29038
119	7245	28981
120	7305	28919
121	7362	28848
122	7420	28777
123	7479	28711
124	7538	28646
125	7601	28594
126	7661	28533
127	7722	28475
128	7781	28412
129	7840	28347
130	7902	28292
131	7965	28240
132	8027	28187
133	8085	28119
134	8145	28056
135	8204	27993
136	8267	27939
137	8322	27863
138	8377	27784
139	8439	27730
140	8502	27677
141	8565	27625
142	8624	27562
143	8686	27507
144	8746	27444
145	8802	27371
146	8862	27309
147	8923	27252
148	8981	27186
149	9039	27119
150	9102	27065
151	9159	26997
152	9221	26940
153	9280	26876
154	9338	26811
155	9401	26758
156	9459	26692
157	9517	26624
158	9578	26567
159	9638	26505
160	9698	26443
161	9756	26380
162	9819	26326
163	9878	26261
164	9935	26194
165	9997	26137
166	10057	26076
167	10118	26019
168	10179	25961
169	10241	25904
170	10299	25840
171	10356	25771
172	10415	25708
173	10474	25643
174	10533	25580
175	10595	25526
176	10657	25470
177	10716	25405
178	10775	25342
179	10837	25286
180	10895	25221
181	10954	25160
182	11017	25105
183	11077	25045
184	11135	24979
185	11192	24911
186	11254	24856
187	11315	24797
188	11372	24730
189	11434	24673
190	11493	24612
191	11553	24550
192	11613	24490
193	11671	24426
194	11732	24366
195	11793	24310
196	11850	24241
197	11908	24178
198	11968	24116
199	12028	24057
200	12089	23999
201	12151	23941
202	12212	23883
