iter	MultiClass
0	1.554660463
1	1.493529615
2	1.431431587
3	1.374895124
4	1.335706111
5	1.292400205
6	1.232871184
7	1.183681387
8	1.12314726
9	1.080527755
10	1.033130484
11	1.007717446
12	0.9727429566
13	0.9557435036
14	0.924473508
15	0.8960394102
16	0.8777670415
17	0.8459548782
18	0.8268995542
19	0.8138350111
20	0.7973437529
21	0.778561502
22	0.7589480547
23	0.746308689
24	0.727327699
25	0.7112603592
26	0.6957875411
27	0.6785942207
28	0.6640403765
29	0.6559119011
30	0.64736544
31	0.6353654014
32	0.6258260633
33	0.6144639599
34	0.6050352762
35	0.5945089014
36	0.5832173214
37	0.5726446519
38	0.5632424806
39	0.550429112
40	0.5387584258
41	0.5304273158
42	0.5228605418
43	0.5114839522
44	0.5050381892
45	0.4950504169
46	0.4885395902
47	0.4820507081
48	0.4763482355
49	0.4708351035
50	0.4656037548
51	0.4595577758
52	0.4552796772
53	0.4500386373
54	0.4461495055
55	0.4413807329
56	0.4379925224
57	0.4336505617
58	0.4264072384
59	0.4201996669
60	0.4167476009
61	0.4114433224
62	0.4057624169
63	0.40098029
64	0.3972782992
65	0.393805262
66	0.3906219525
67	0.3872062968
68	0.3842137365
69	0.3809670589
70	0.3778452265
71	0.3745619083
72	0.3704140863
73	0.3643160639
74	0.3599018982
75	0.3568456674
76	0.3529949421
77	0.3491380664
78	0.3463535806
79	0.3431271033
80	0.3400053813
81	0.3376302911
82	0.3336381797
83	0.3307424966
84	0.3280352183
85	0.3248534422
86	0.3209938365
87	0.3183628874
88	0.3153120422
89	0.3131732203
90	0.3103769434
91	0.3073738959
92	0.3053150204
93	0.3033851748
94	0.3012412044
95	0.2988902518
96	0.29635837
97	0.2937920464
98	0.2917912142
99	0.2892859334
100	0.2867923382
101	0.2850566762
102	0.2834453118
103	0.2814356869
104	0.2767033125
105	0.2747383197
106	0.272527212
107	0.2708475643
108	0.2687675955
109	0.2664454067
110	0.2636576987
111	0.2618475931
112	0.2582935833
113	0.2565970222
114	0.2543832392
115	0.2521065615
116	0.2502837189
117	0.2477527656
118	0.2443532415
119	0.2426963712
120	0.2409723145
121	0.239628906
122	0.2380225473
123	0.2360006365
124	0.2345454622
125	0.2323574811
126	0.2308244383
127	0.2285288507
128	0.227146781
129	0.2253544724
130	0.2231609808
131	0.221855755
132	0.2184458938
133	0.2165340983
134	0.2150262412
135	0.2138821435
136	0.2119596439
