iter	Passed	Remaining
0	31	18957
1	62	18605
2	96	19180
3	128	19102
4	160	19138
5	191	18965
6	223	18928
7	233	17298
8	267	17589
9	302	17842
10	309	16556
11	346	17000
12	376	17020
13	405	16987
14	437	17065
15	472	17232
16	507	17399
17	539	17435
18	571	17472
19	601	17434
20	631	17404
21	663	17435
22	691	17355
23	725	17410
24	731	16835
25	763	16866
26	796	16904
27	827	16910
28	861	16960
29	895	17016
30	928	17047
31	960	17042
32	989	17005
33	1020	16993
34	1054	17016
35	1086	17024
36	1121	17072
37	1154	17078
38	1190	17125
39	1222	17112
40	1254	17102
41	1286	17092
42	1318	17080
43	1350	17067
44	1383	17068
45	1415	17051
46	1448	17037
47	1480	17024
48	1514	17033
49	1548	17031
50	1580	17015
51	1612	16991
52	1647	17002
53	1680	16996
54	1712	16964
55	1744	16943
56	1778	16947
57	1809	16913
58	1840	16876
59	1875	16875
60	1910	16878
61	1942	16859
62	1975	16842
63	2006	16806
64	2037	16770
65	2069	16747
66	2101	16721
67	2133	16691
68	2172	16721
69	2204	16693
70	2237	16674
71	2270	16650
72	2303	16626
73	2336	16607
74	2367	16573
75	2397	16530
76	2424	16467
77	2454	16426
78	2485	16394
79	2518	16368
80	2549	16337
81	2579	16295
82	2612	16274
83	2645	16251
84	2676	16214
85	2712	16210
86	2744	16181
87	2776	16155
88	2808	16126
89	2841	16102
90	2873	16073
91	2902	16027
92	2931	15982
93	2963	15952
94	2995	15923
95	3030	15908
96	3063	15884
97	3094	15848
98	3123	15806
99	3157	15786
100	3192	15770
101	3223	15738
102	3256	15714
103	3287	15679
104	3322	15661
105	3352	15626
106	3384	15595
107	3417	15566
108	3448	15535
109	3477	15492
110	3510	15467
111	3540	15426
112	3574	15404
113	3609	15387
114	3637	15341
115	3668	15306
116	3698	15268
117	3728	15230
118	3764	15216
119	3795	15181
120	3825	15142
121	3860	15125
122	3893	15100
123	3925	15068
124	3954	15026
125	3986	14995
126	4019	14971
127	4052	14945
128	4082	14904
129	4112	14869
130	4148	14852
131	4181	14824
132	4213	14794
133	4239	14742
134	4270	14708
135	4304	14685
136	4337	14658
137	4366	14618
138	4398	14589
139	4430	14558
140	4463	14531
141	4503	14524
142	4533	14487
143	4565	14456
144	4595	14420
145	4626	14386
146	4659	14357
147	4691	14329
148	4728	14313
149	4761	14285
150	4790	14245
151	4821	14209
152	4852	14175
153	4883	14141
154	4914	14110
155	4946	14077
156	4976	14043
157	5008	14011
158	5041	13982
159	5075	13957
160	5109	13932
161	5141	13901
162	5160	13834
163	5191	13802
164	5227	13781
165	5260	13752
166	5297	13735
167	5330	13705
168	5364	13680
169	5393	13641
170	5425	13611
171	5457	13580
172	5489	13548
173	5524	13526
174	5556	13494
175	5591	13469
176	5624	13440
177	5654	13405
178	5687	13377
179	5716	13339
180	5746	13303
181	5779	13273
182	5806	13232
183	5844	13214
184	5877	13184
185	5910	13155
186	5943	13126
187	5979	13103
188	6011	13073
189	6043	13041
190	6076	13012
191	6110	12984
192	6141	12952
193	6173	12920
194	6205	12889
195	6237	12857
196	6269	12826
197	6300	12792
198	6335	12766
199	6367	12734
200	6401	12707
201	6434	12676
202	6464	12643
203	6496	12611
204	6528	12579
205	6562	12550
206	6593	12517
207	6624	12484
208	6658	12457
209	6688	12420
210	6717	12384
211	6748	12351
212	6781	12320
213	6815	12292
214	6848	12262
215	6879	12230
216	6911	12199
217	6944	12167
218	6971	12128
219	7002	12095
220	7035	12064
221	7065	12029
222	7098	11999
223	7118	11949
224	7149	11916
225	7181	11884
226	7213	11853
227	7245	11822
228	7281	11796
229	7312	11763
230	7347	11736
231	7382	11709
232	7411	11673
233	7446	11647
234	7478	11615
235	7483	11542
236	7514	11508
237	7548	11481
238	7578	11447
239	7610	11416
240	7643	11385
241	7673	11351
242	7706	11321
243	7741	11294
244	7775	11266
245	7807	11235
246	7842	11207
247	7874	11176
248	7905	11144
249	7939	11115
250	7971	11083
251	8001	11049
252	8029	11013
253	8062	10983
254	8094	10952
255	8124	10917
256	8157	10886
257	8189	10856
258	8221	10825
259	8256	10796
260	8286	10762
261	8317	10730
262	8352	10702
263	8358	10637
264	8391	10607
265	8422	10576
266	8454	10544
267	8485	10511
268	8516	10478
269	8551	10451
270	8587	10425
271	8619	10393
272	8650	10361
273	8685	10333
274	8712	10296
275	8744	10265
276	8774	10231
277	8804	10197
278	8838	10169
279	8870	10138
280	8902	10106
281	8937	10078
282	8970	10047
283	9000	10014
284	9038	9989
285	9073	9961
286	9106	9931
287	9142	9904
288	9175	9874
289	9205	9840
290	9236	9807
291	9267	9775
292	9303	9747
293	9332	9713
294	9365	9682
295	9397	9651
296	9432	9623
297	9463	9590
298	9493	9557
299	9528	9528
300	9558	9495
301	9590	9463
302	9623	9432
303	9656	9402
304	9690	9372
305	9720	9339
306	9751	9306
307	9781	9273
308	9812	9240
309	9844	9209
310	9875	9176
311	9911	9149
312	9943	9117
313	9973	9084
314	10005	9052
315	10035	9019
316	10066	8986
317	10098	8955
318	10127	8921
319	10158	8888
320	10193	8859
321	10228	8830
322	10260	8799
323	10294	8769
324	10325	8737
325	10358	8706
326	10391	8675
327	10425	8645
328	10459	8615
329	10492	8585
330	10523	8552
331	10555	8520
332	10588	8489
333	10620	8458
334	10651	8425
335	10683	8394
336	10714	8362
337	10748	8331
338	10777	8297
339	10808	8265
340	10840	8233
341	10872	8201
342	10903	8169
343	10933	8136
344	10966	8105
345	10997	8073
346	11029	8041
347	11061	8010
348	11092	7977
