iter	MultiClass
0	2.374914106
1	2.286601822
2	2.176642718
3	2.103559645
4	2.040397251
5	1.958661887
6	1.876726112
7	1.817224033
8	1.752144303
9	1.683985387
10	1.633280172
11	1.579276159
12	1.521227322
13	1.477899917
14	1.435295156
15	1.398825134
16	1.354881583
17	1.314381803
18	1.280272514
19	1.245786035
20	1.21367695
21	1.183647724
22	1.153036378
23	1.123561182
24	1.100831275
25	1.077853282
26	1.053397831
27	1.03247779
28	1.009835963
29	0.9876063112
30	0.9693679011
31	0.9503284624
32	0.9290501312
33	0.9098800824
34	0.893809568
35	0.8758096364
36	0.8608135048
37	0.8463519203
38	0.8347345711
39	0.8219960998
40	0.8102507921
41	0.7960120167
42	0.7808102397
43	0.7680569163
44	0.7561855345
45	0.7448066561
46	0.7330708493
47	0.7215885659
48	0.7096555021
49	0.6979907125
50	0.6873295103
51	0.6777226636
52	0.6678880925
53	0.6603873269
54	0.6515277463
55	0.6442466946
56	0.6345449619
57	0.6260219424
58	0.6194073
59	0.6110146537
60	0.6024235004
61	0.5937866151
62	0.586441807
63	0.5799052202
64	0.5732256851
65	0.5673424115
66	0.5614534014
67	0.5551374521
68	0.5489628894
69	0.5430459857
70	0.5372225833
71	0.5316320662
72	0.5252683355
73	0.5198633573
74	0.5131118821
75	0.5077357619
76	0.5027165012
77	0.4984312941
78	0.4924823427
79	0.4869636663
80	0.4823407926
81	0.4776616937
82	0.4729519016
83	0.4686582145
84	0.463849238
85	0.4591357354
86	0.4528011081
87	0.4488100958
88	0.4445368532
89	0.440862488
90	0.4367260582
91	0.432286098
92	0.4285332694
93	0.4243381332
94	0.4201996624
95	0.4160221472
96	0.411928672
97	0.4079193314
98	0.4040563803
99	0.4010512822
100	0.3977793488
101	0.3938046689
102	0.3902072943
103	0.3864066881
104	0.3820397233
105	0.3787677557
106	0.3747457093
107	0.3706889065
108	0.3676849669
109	0.3643560848
110	0.3606832858
111	0.3578301775
112	0.3551772375
113	0.3520478377
114	0.3490868044
115	0.3459678153
116	0.3431026785
117	0.3392581333
118	0.3365982362
119	0.333530679
120	0.3304216529
121	0.3281382034
122	0.325643874
123	0.3228623843
124	0.3197788016
125	0.3168542518
126	0.3139050577
127	0.3115851287
128	0.3085111868
129	0.3053112174
130	0.3027093507
131	0.3003453748
132	0.2977075896
133	0.2954695805
134	0.2928970509
135	0.2902042466
136	0.2875424778
137	0.2857931534
138	0.2837682505
139	0.2813295801
140	0.2794526521
141	0.2770750829
142	0.2749523429
143	0.2728633698
144	0.2706751034
145	0.2682509284
146	0.2661339922
147	0.2635475629
148	0.2620527208
149	0.2596527834
150	0.2573347134
151	0.2553954015
