iter	Passed	Remaining
0	76	46021
1	149	44764
2	223	44401
3	285	42611
4	357	42554
5	431	42723
6	502	42589
7	567	42021
8	637	41854
9	711	41949
10	784	41984
11	858	42056
12	932	42085
13	999	41838
14	1070	41730
15	1142	41688
16	1214	41659
17	1288	41664
18	1360	41605
19	1429	41468
20	1504	41470
21	1575	41381
22	1634	40994
23	1706	40965
24	1777	40872
25	1846	40755
26	1907	40478
27	1978	40421
28	2046	40303
29	2119	40262
30	2193	40265
31	2266	40230
32	2340	40215
33	2411	40152
34	2482	40074
35	2557	40060
36	2622	39909
37	2692	39815
38	2764	39765
39	2835	39699
40	2909	39667
41	2990	39734
42	3058	39618
43	3135	39615
44	3199	39458
45	3269	39370
46	3343	39338
47	3418	39312
48	3488	39225
49	3560	39162
50	3628	39062
51	3701	39007
52	3772	38936
53	3834	38771
54	3903	38676
55	3976	38629
56	4047	38560
57	4114	38447
58	4187	38394
59	4262	38366
60	4330	38268
61	4402	38199
62	4472	38124
63	4540	38029
64	4613	37972
65	4682	37884
66	4755	37828
67	4823	37734
68	4900	37712
69	4969	37629
70	5045	37594
71	5118	37533
72	5188	37456
73	5262	37409
74	5335	37349
75	5403	37252
76	5473	37180
77	5541	37086
78	5604	36963
79	5672	36873
80	5745	36815
81	5821	36772
82	5895	36725
83	5963	36630
84	6035	36569
85	6112	36533
86	6185	36470
87	6248	36353
88	6314	36255
89	6389	36209
90	6459	36131
91	6528	36048
92	6598	35972
93	6672	35915
94	6747	35865
95	6812	35765
96	6881	35686
97	6958	35643
98	7018	35518
99	7089	35445
100	7159	35370
101	7226	35281
102	7300	35225
103	7370	35152
104	7443	35088
105	7515	35024
106	7585	34951
107	7654	34870
108	7714	34750
109	7786	34685
110	7861	34631
111	7937	34584
112	8007	34509
113	8076	34429
114	8149	34367
115	8218	34289
116	8288	34215
117	8361	34153
118	8431	34080
119	8504	34017
120	8574	33945
121	8646	33878
122	8718	33809
123	8788	33737
124	8858	33663
125	8928	33589
