iter	Passed	Remaining
0	32	19325
1	64	19158
2	98	19543
3	130	19492
4	163	19460
5	196	19488
6	234	19881
7	244	18119
8	280	18444
9	312	18426
10	318	17065
11	349	17127
12	380	17193
13	413	17304
14	446	17407
15	478	17451
16	510	17501
17	543	17571
18	578	17698
19	614	17832
20	649	17911
21	682	17933
22	717	18011
23	748	17964
24	754	17361
25	785	17330
26	816	17324
27	848	17331
28	881	17359
29	914	17381
30	947	17393
31	983	17462
32	1016	17457
33	1047	17445
34	1080	17442
35	1113	17450
36	1147	17465
37	1177	17416
38	1207	17372
39	1238	17338
40	1273	17361
41	1305	17346
42	1337	17320
43	1368	17297
44	1403	17303
45	1434	17280
46	1466	17249
47	1497	17215
48	1528	17188
49	1564	17207
50	1599	17219
51	1632	17206
52	1665	17185
53	1698	17178
54	1730	17149
55	1763	17130
56	1794	17096
57	1827	17073
58	1858	17039
59	1893	17045
60	1930	17061
61	1959	17007
62	1988	16953
63	2022	16935
64	2058	16943
65	2088	16900
66	2119	16862
67	2150	16821
68	2189	16846
69	2219	16803
70	2255	16808
71	2285	16763
72	2321	16756
73	2350	16707
74	2381	16669
75	2410	16619
76	2441	16585
77	2471	16542
78	2501	16495
79	2536	16488
80	2576	16510
81	2608	16479
82	2638	16437
83	2669	16399
84	2703	16381
85	2736	16355
86	2767	16320
87	2800	16296
88	2829	16242
89	2865	16238
90	2898	16210
91	2929	16176
92	2964	16159
93	2994	16118
94	3024	16077
95	3059	16062
96	3092	16035
97	3123	16002
98	3161	15997
99	3197	15985
100	3229	15956
101	3264	15937
102	3297	15912
103	3335	15908
104	3368	15879
105	3400	15845
106	3431	15809
107	3465	15787
108	3496	15752
109	3531	15731
110	3564	15704
111	3597	15675
112	3631	15651
113	3662	15612
114	3692	15572
115	3720	15525
116	3754	15498
117	3786	15466
118	3817	15431
119	3849	15398
120	3879	15356
121	3912	15328
122	3945	15301
123	3980	15281
124	4013	15250
125	4047	15224
126	4078	15188
127	4109	15154
128	4144	15132
129	4178	15108
130	4209	15068
131	4242	15041
132	4272	15002
133	4303	14964
134	4333	14928
135	4363	14886
136	4396	14859
137	4427	14823
138	4459	14789
139	4492	14760
140	4526	14734
141	4563	14717
142	4595	14687
143	4626	14651
144	4658	14619
145	4693	14594
146	4726	14564
147	4760	14539
148	4793	14509
149	4827	14481
150	4855	14438
151	4886	14402
152	4916	14363
153	4948	14332
154	4981	14300
155	5012	14264
156	5042	14228
157	5074	14195
158	5105	14161
159	5137	14129
160	5168	14093
161	5200	14061
162	5219	13993
163	5249	13955
164	5284	13932
165	5316	13900
166	5348	13866
167	5382	13840
168	5412	13803
169	5442	13767
170	5473	13732
171	5505	13699
172	5535	13663
173	5568	13634
174	5600	13601
175	5631	13567
176	5664	13537
177	5696	13504
178	5729	13476
179	5765	13452
180	5796	13419
181	5831	13393
182	5863	13361
183	5897	13332
184	5931	13305
185	5964	13275
186	5995	13240
187	6026	13207
188	6056	13171
189	6089	13140
190	6119	13103
191	6151	13072
192	6182	13037
193	6213	13003
194	6248	12978
195	6285	12955
196	6316	12921
197	6349	12890
198	6381	12859
199	6413	12826
200	6445	12795
201	6478	12764
202	6511	12734
203	6543	12702
204	6573	12665
205	6604	12632
206	6639	12604
207	6676	12582
208	6708	12551
209	6741	12519
210	6783	12506
211	6819	12480
212	6855	12455
213	6885	12419
214	6920	12392
215	6954	12364
216	6993	12344
217	7030	12319
218	7061	12284
219	7093	12252
220	7123	12215
221	7161	12193
222	7195	12164
223	7213	12108
224	7243	12072
225	7277	12043
226	7307	12006
227	7338	11972
228	7371	11942
229	7405	11913
230	7439	11884
231	7474	11856
232	7510	11829
233	7543	11799
234	7579	11771
235	7586	11701
236	7617	11666
237	7648	11633
238	7679	11599
239	7711	11567
240	7745	11538
241	7775	11502
242	7806	11468
243	7836	11432
244	7868	11401
245	7901	11369
246	7933	11338
247	7964	11304
248	7996	11271
249	8026	11237
250	8058	11204
251	8094	11178
252	8124	11143
253	8164	11121
254	8206	11103
255	8235	11066
256	8265	11030
257	8298	11000
258	8331	10969
259	8362	10936
260	8394	10903
261	8430	10876
262	8462	10843
263	8471	10781
264	8501	10747
265	8532	10713
266	8566	10683
267	8604	10659
268	8639	10630
269	8674	10601
270	8704	10567
271	8737	10536
272	8769	10504
273	8808	10479
274	8840	10447
275	8876	10420
276	8907	10386
277	8939	10353
278	8969	10320
279	8999	10285
280	9032	10254
281	9065	10223
282	9100	10193
283	9136	10165
284	9165	10129
285	9197	10098
286	9234	10071
287	9270	10042
288	9302	10010
289	9335	9979
290	9368	9947
291	9400	9915
292	9436	9886
293	9472	9859
294	9508	9830
295	9540	9798
296	9574	9768
297	9607	9736
298	9646	9710
299	9678	9678
300	9707	9642
301	9736	9607
302	9768	9575
303	9800	9542
304	9829	9507
305	9859	9472
306	9895	9444
307	9928	9412
308	9958	9378
309	9985	9341
310	10017	9308
311	10052	9279
312	10083	9246
313	10116	9214
314	10147	9181
315	10176	9145
316	10206	9111
317	10241	9082
318	10274	9050
319	10306	9017
320	10342	8989
321	10377	8959
322	10408	8925
323	10438	8892
324	10472	8861
325	10510	8834
326	10543	8802
327	10573	8768
328	10605	8735
329	10637	8703
330	10672	8673
331	10700	8637
332	10737	8609
333	10770	8577
334	10803	8546
335	10833	8512
336	10866	8480
337	10901	8449
338	10933	8417
339	10963	8383
340	10997	8352
341	11033	8323
342	11065	8291
343	11097	8258
344	11127	8224
345	11161	8193
346	11194	8161
347	11234	8134
348	11265	8101
349	11297	8069
350	11326	8035
351	11366	8007
352	11402	7978
353	11434	7945
354	11466	7913
355	11499	7881
356	11533	7850
357	11564	7817
358	11598	7786
359	11632	7754
360	11663	7721
361	11694	7688
362	11733	7660
363	11763	7626
364	11798	7596
365	11830	7563
366	11857	7527
367	11891	7496
368	11928	7467
369	11960	7435
370	11993	7402
371	12024	7369
372	12059	7338
373	12092	7307
374	12124	7274
375	12157	7242
376	12188	7209
377	12223	7178
378	12252	7144
379	12284	7111
380	12316	7079
381	12348	7047
382	12382	7015
383	12413	6982
384	12443	6948
385	12477	6917
386	12508	6884
387	12539	6851
388	12569	6818
389	12604	6787
390	12638	6755
391	12671	6723
392	12708	6693
393	12736	6659
394	12767	6626
395	12798	6593
396	12829	6560
397	12863	6528
398	12893	6495
399	12926	6463
400	12961	6432
401	12991	6398
402	13023	6366
403	13054	6333
404	13088	6301
405	13124	6271
406	13156	6239
407	13187	6205
408	13221	6174
409	13251	6141
410	13285	6109
411	13318	6077
412	13346	6043
413	13383	6012
414	13413	5979
415	13447	5948
416	13485	5917
417	13517	5885
418	13549	5852
419	13582	5821
420	13610	5786
421	13642	5754
422	13673	5721
423	13708	5690
424	13743	5659
425	13777	5627
426	13808	5594
427	13839	5561
428	13871	5529
429	13905	5497
430	13935	5464
431	13966	5431
432	13997	5398
433	14030	5366
434	14066	5335
435	14098	5303
436	14126	5269
437	14159	5237
438	14191	5204
439	14221	5171
440	14255	5139
441	14284	5106
442	14314	5072
443	14345	5040
444	14375	5007
445	14409	4975
446	14445	4944
447	14475	4911
448	14510	4879
449	14545	4848
450	14577	4816
451	14607	4782
452	14638	4750
453	14669	4717
454	14698	4684
455	14732	4652
456	14764	4620
457	14797	4587
458	14826	4554
459	14856	4521
