iter	Passed	Remaining
0	31	18929
1	63	19038
2	100	20029
3	131	19666
4	168	20046
5	200	19889
6	235	19952
7	245	18194
8	275	18111
9	309	18241
10	315	16897
11	345	16933
12	376	16981
13	403	16872
14	437	17069
15	471	17224
16	502	17236
17	536	17348
18	568	17376
19	599	17387
20	632	17441
21	664	17470
22	694	17429
23	729	17503
24	734	16887
25	766	16924
26	798	16953
27	831	16979
28	865	17033
29	895	17013
30	927	17029
31	957	17001
32	988	16984
33	1016	16929
34	1047	16903
35	1079	16909
36	1111	16915
37	1141	16883
38	1173	16884
39	1207	16906
40	1243	16949
41	1275	16939
42	1303	16890
43	1337	16902
44	1370	16901
45	1401	16880
46	1434	16882
47	1467	16881
48	1498	16851
49	1532	16855
50	1561	16811
51	1594	16801
52	1625	16780
53	1658	16770
54	1692	16767
55	1723	16747
56	1754	16709
57	1784	16672
58	1815	16645
59	1850	16653
60	1881	16621
61	1913	16600
62	1945	16579
63	1976	16556
64	2017	16606
65	2051	16599
66	2084	16584
67	2119	16580
68	2149	16539
69	2179	16499
70	2211	16474
71	2242	16447
72	2274	16417
73	2305	16384
74	2337	16365
75	2367	16323
76	2397	16284
77	2428	16254
78	2459	16217
79	2488	16175
80	2519	16141
81	2550	16109
82	2581	16077
83	2612	16049
84	2643	16014
85	2676	15996
86	2710	15984
87	2741	15950
88	2770	15908
89	2800	15872
90	2829	15826
91	2861	15800
92	2892	15768
93	2922	15733
94	2952	15696
95	2982	15659
96	3016	15640
97	3046	15605
98	3076	15571
99	3108	15540
100	3142	15525
101	3178	15518
102	3211	15497
103	3242	15466
104	3272	15428
105	3302	15390
106	3336	15370
107	3369	15349
108	3402	15326
109	3435	15302
110	3466	15272
111	3495	15230
112	3527	15204
113	3558	15172
114	3592	15151
115	3622	15114
116	3655	15088
117	3687	15061
118	3717	15026
119	3749	14997
120	3781	14969
121	3814	14944
122	3845	14911
123	3876	14881
124	3914	14875
125	3947	14848
126	3980	14823
127	4012	14795
128	4044	14768
129	4077	14743
130	4108	14708
131	4141	14682
132	4172	14651
133	4208	14637
134	4242	14611
135	4275	14586
136	4306	14554
137	4338	14525
138	4371	14497
139	4400	14459
140	4432	14428
141	4461	14390
142	4494	14364
143	4526	14335
144	4559	14307
145	4588	14268
146	4620	14239
147	4652	14209
148	4683	14176
149	4715	14146
150	4747	14116
151	4777	14082
152	4806	14043
153	4838	14013
154	4869	13979
155	4900	13947
156	4931	13915
157	4963	13883
158	4988	13835
159	5019	13803
160	5048	13765
161	5080	13736
162	5098	13668
163	5130	13638
164	5161	13607
165	5195	13582
166	5224	13545
167	5256	13515
168	5289	13489
169	5321	13461
170	5353	13431
171	5384	13398
172	5415	13367
173	5451	13347
174	5485	13322
175	5515	13287
176	5549	13261
177	5583	13237
178	5612	13199
179	5643	13167
180	5673	13133
181	5706	13105
182	5737	13073
183	5769	13044
184	5803	13017
185	5835	12988
186	5867	12958
187	5902	12935
188	5936	12908
189	5970	12883
190	6005	12860
191	6038	12831
192	6070	12802
193	6105	12777
194	6138	12749
195	6169	12717
196	6201	12686
197	6235	12658
198	6267	12629
199	6297	12595
200	6331	12569
201	6361	12533
202	6395	12507
203	6427	12476
204	6458	12443
205	6493	12418
206	6525	12389
207	6558	12360
208	6594	12336
209	6627	12308
210	6657	12274
211	6691	12245
212	6726	12221
213	6758	12191
214	6791	12160
215	6824	12133
216	6860	12108
217	6893	12078
218	6924	12047
219	6958	12019
220	6991	11990
221	7024	11961
222	7056	11929
223	7076	11879
224	7109	11848
225	7141	11818
226	7174	11789
227	7205	11756
228	7238	11727
229	7270	11695
230	7302	11665
231	7335	11635
232	7370	11608
233	7402	11577
234	7433	11545
235	7439	11474
236	7475	11450
237	7507	11419
238	7542	11392
239	7571	11357
240	7601	11323
241	7632	11290
242	7663	11257
243	7689	11219
244	7723	11190
245	7755	11159
246	7785	11127
247	7815	11093
248	7847	11062
249	7880	11032
250	7913	11003
251	7942	10968
252	7979	10943
253	8015	10918
254	8045	10885
255	8076	10852
256	8106	10819
257	8139	10789
258	8169	10756
259	8204	10728
260	8234	10695
261	8266	10664
262	8298	10633
263	8305	10570
264	8333	10535
265	8366	10504
266	8398	10474
267	8430	10444
268	8467	10419
269	8499	10388
270	8535	10362
271	8569	10333
272	8596	10296
273	8629	10267
274	8662	10237
275	8694	10206
276	8729	10179
277	8760	10147
278	8794	10118
279	8827	10088
280	8857	10055
281	8888	10023
282	8924	9996
283	8958	9967
284	8991	9938
285	9025	9909
286	9056	9876
287	9086	9843
288	9119	9813
289	9149	9781
290	9181	9749
291	9212	9717
292	9243	9684
293	9276	9654
294	9310	9625
295	9343	9596
296	9376	9566
297	9409	9535
298	9442	9505
299	9477	9477
300	9505	9442
301	9538	9412
302	9569	9380
303	9601	9348
304	9631	9315
305	9663	9284
306	9697	9254
307	9729	9223
308	9761	9192
309	9796	9164
310	9830	9134
311	9860	9102
312	9893	9071
313	9924	9039
314	9957	9008
315	9993	8981
316	10026	8951
317	10057	8918
318	10089	8887
319	10120	8855
320	10153	8824
321	10186	8794
322	10216	8761
323	10246	8728
324	10276	8695
325	10307	8663
326	10339	8632
327	10370	8599
328	10400	8567
329	10432	8536
330	10464	8504
331	10496	8473
332	10526	8439
333	10558	8408
334	10588	8376
335	10619	8343
336	10650	8312
337	10689	8285
338	10726	8258
339	10758	8227
340	10794	8198
341	10826	8167
342	10859	8136
343	10889	8103
344	10921	8072
345	10955	8042
346	10988	8011
347	11021	7981
348	11052	7948
349	11083	7917
350	11120	7889
351	11151	7857
352	11183	7825
353	11215	7794
354	11249	7763
355	11282	7732
356	11316	7702
357	11350	7672
358	11380	7640
359	11413	7608
360	11445	7577
