iter	Passed	Remaining
0	34	20461
1	68	20388
2	102	20479
3	134	20012
4	166	19818
5	201	19965
6	233	19777
7	242	17925
8	273	17988
9	303	17927
10	310	16642
11	342	16772
12	376	16999
13	411	17219
14	446	17413
15	481	17559
16	515	17672
17	544	17610
18	577	17673
19	610	17702
20	644	17763
21	678	17819
22	714	17915
23	748	17952
24	754	17358
25	786	17373
26	821	17437
27	851	17386
28	888	17484
29	921	17509
30	950	17438
31	982	17444
32	1016	17462
33	1050	17490
34	1085	17530
35	1123	17603
36	1157	17619
37	1186	17542
38	1215	17486
39	1250	17503
40	1281	17473
41	1310	17410
42	1343	17401
43	1376	17389
44	1411	17408
45	1444	17394
46	1476	17368
47	1514	17412
48	1551	17441
49	1581	17393
50	1615	17387
51	1649	17379
52	1682	17360
53	1716	17355
54	1748	17321
55	1782	17318
56	1815	17297
57	1849	17285
58	1882	17257
59	1913	17222
60	1944	17181
61	1975	17138
62	2009	17130
63	2043	17113
64	2074	17074
65	2106	17044
66	2139	17021
67	2173	17004
68	2205	16976
69	2234	16917
70	2265	16881
71	2299	16860
72	2330	16823
73	2364	16804
74	2393	16754
75	2428	16745
76	2467	16757
77	2498	16722
78	2530	16686
79	2565	16674
80	2596	16636
81	2629	16611
82	2661	16580
83	2697	16572
84	2729	16536
85	2761	16505
86	2793	16473
87	2825	16440
88	2860	16420
89	2890	16381
90	2922	16345
91	2953	16307
92	2986	16278
93	3024	16283
94	3059	16261
95	3088	16214
96	3123	16198
97	3159	16185
98	3191	16150
99	3224	16120
100	3257	16092
101	3292	16074
102	3325	16044
103	3356	16006
104	3394	16001
105	3423	15955
106	3456	15927
107	3490	15900
108	3520	15860
109	3552	15822
110	3583	15784
111	3615	15751
112	3648	15723
113	3680	15691
114	3712	15657
115	3745	15625
116	3777	15596
117	3809	15561
118	3842	15533
119	3878	15513
120	3912	15490
121	3947	15465
122	3981	15441
123	4013	15407
124	4045	15371
125	4076	15334
126	4105	15292
127	4136	15252
128	4170	15227
129	4201	15188
130	4232	15154
131	4264	15120
132	4297	15090
133	4331	15062
134	4365	15035
135	4399	15010
136	4431	14975
137	4471	14969
138	4505	14943
139	4536	14904
140	4568	14870
141	4602	14843
142	4635	14815
143	4668	14783
144	4702	14756
145	4734	14723
146	4768	14694
147	4803	14669
148	4833	14631
149	4868	14606
150	4903	14579
151	4937	14551
152	4971	14525
153	5006	14500
154	5036	14460
155	5063	14412
156	5096	14380
157	5132	14357
158	5164	14324
159	5195	14288
160	5225	14248
161	5256	14211
162	5272	14136
163	5305	14104
164	5339	14076
165	5368	14035
166	5401	14005
167	5433	13972
168	5467	13942
169	5498	13907
170	5529	13871
171	5565	13849
172	5594	13808
173	5626	13775
174	5655	13734
175	5685	13697
176	5717	13664
177	5749	13631
178	5784	13604
179	5816	13572
180	5847	13537
181	5880	13505
182	5913	13476
183	5945	13442
184	5977	13407
185	6008	13372
186	6038	13336
187	6075	13315
188	6108	13284
189	6141	13251
190	6171	13215
191	6205	13186
192	6242	13163
193	6273	13128
194	6310	13106
195	6343	13075
196	6375	13042
197	6407	13009
198	6438	12973
199	6470	12941
200	6502	12908
201	6530	12866
202	6563	12835
203	6595	12802
204	6624	12764
205	6656	12732
206	6689	12699
207	6722	12669
208	6753	12634
209	6784	12600
210	6818	12571
211	6851	12538
212	6883	12507
213	6919	12480
214	6954	12452
215	6986	12419
216	7020	12390
217	7051	12356
218	7083	12323
219	7115	12291
220	7150	12262
221	7179	12224
222	7212	12193
223	7231	12138
224	7263	12106
225	7295	12072
226	7329	12044
227	7360	12009
228	7396	11982
229	7431	11954
230	7464	11923
231	7498	11893
232	7531	11863
233	7564	11831
234	7598	11801
235	7605	11729
236	7637	11698
237	7667	11661
238	7699	11629
239	7731	11597
240	7762	11562
241	7793	11529
242	7826	11498
243	7860	11468
244	7896	11441
245	7928	11408
246	7961	11378
247	7997	11351
248	8030	11319
249	8060	11284
