iter	Passed	Remaining
0	32	19418
1	67	20114
2	102	20488
3	135	20245
4	169	20128
5	204	20277
6	240	20391
7	252	18704
8	291	19122
9	324	19122
10	331	17729
11	362	17747
12	397	17954
13	429	17973
14	462	18054
15	495	18095
16	528	18132
17	559	18094
18	590	18057
19	623	18083
20	659	18181
21	693	18228
22	731	18341
23	765	18361
24	769	17702
25	802	17719
26	837	17773
27	868	17739
28	901	17746
29	934	17755
30	969	17799
31	1002	17791
32	1035	17787
33	1067	17764
34	1098	17734
35	1129	17696
36	1161	17668
37	1193	17646
38	1225	17631
39	1259	17631
40	1292	17622
41	1323	17586
42	1355	17563
43	1387	17529
44	1417	17481
45	1450	17470
46	1487	17502
47	1520	17488
48	1551	17450
49	1584	17428
50	1615	17392
51	1652	17416
52	1682	17365
53	1722	17413
54	1753	17377
55	1785	17344
56	1816	17308
57	1851	17303
58	1886	17294
59	1916	17247
60	1949	17222
61	1980	17181
62	2009	17126
63	2039	17084
64	2073	17069
65	2104	17030
66	2140	17029
67	2174	17015
68	2206	16981
69	2240	16965
70	2275	16957
71	2308	16928
72	2341	16901
73	2375	16882
74	2406	16846
75	2442	16838
76	2472	16793
77	2503	16753
78	2533	16705
79	2566	16684
80	2598	16648
81	2630	16616
82	2664	16598
83	2697	16572
84	2730	16545
85	2764	16523
86	2797	16493
87	2828	16458
88	2862	16434
89	2895	16405
90	2931	16397
91	2963	16362
92	2995	16331
93	3027	16299
94	3060	16266
95	3091	16230
96	3121	16189
97	3155	16166
98	3188	16137
99	3220	16101
100	3256	16088
101	3289	16060
102	3321	16025
103	3357	16011
104	3393	15995
105	3423	15955
106	3453	15912
107	3487	15888
108	3522	15868
109	3553	15831
110	3586	15800
111	3618	15764
112	3648	15725
113	3681	15696
114	3714	15665
115	3744	15623
116	3777	15594
117	3806	15550
118	3838	15516
119	3872	15490
120	3905	15461
121	3936	15422
122	3968	15389
123	4002	15363
124	4037	15341
125	4070	15314
126	4105	15288
127	4137	15257
128	4169	15222
129	4205	15202
130	4237	15170
131	4271	15142
132	4304	15114
133	4338	15088
134	4370	15053
135	4400	15013
136	4432	14980
137	4463	14943
138	4497	14914
139	4528	14880
140	4560	14845
141	4592	14811
142	4627	14787
143	4659	14754
144	4691	14721
145	4724	14689
146	4753	14647
147	4783	14608
148	4815	14575
149	4846	14539
150	4881	14514
151	4916	14489
152	4947	14454
153	4980	14423
154	5014	14397
155	5046	14362
156	5074	14319
157	5107	14286
158	5139	14254
159	5164	14203
160	5194	14164
161	5227	14132
162	5244	14060
163	5276	14028
164	5312	14005
165	5349	13987
166	5378	13946
167	5411	13914
168	5439	13873
169	5470	13835
170	5500	13799
171	5533	13768
172	5566	13738
173	5599	13707
174	5631	13675
175	5664	13647
176	5698	13618
177	5732	13590
178	5761	13551
179	5794	13520
180	5826	13488
181	5859	13457
182	5891	13423
183	5924	13394
184	5959	13369
185	5994	13341
186	6030	13319
187	6060	13282
188	6094	13254
189	6127	13222
190	6160	13191
191	6194	13163
192	6228	13135
193	6261	13104
194	6295	13076
195	6322	13032
196	6354	12999
197	6385	12965
198	6419	12935
199	6452	12905
200	6483	12870
201	6516	12839
202	6545	12801
203	6579	12771
204	6611	12738
205	6643	12706
206	6676	12675
207	6708	12643
208	6745	12620
209	6778	12587
210	6811	12557
211	6844	12526
212	6877	12495
213	6911	12466
214	6942	12432
215	6971	12394
216	7006	12367
217	7039	12334
218	7075	12308
219	7107	12276
220	7144	12251
221	7178	12222
222	7216	12199
223	7232	12140
224	7265	12108
225	7299	12080
226	7333	12049
227	7366	12018
228	7400	11989
229	7438	11965
230	7472	11936
231	7505	11905
232	7539	11875
233	7571	11842
234	7603	11809
235	7609	11736
236	7640	11702
237	7674	11673
238	7707	11642
239	7738	11608
240	7771	11576
241	7803	11543
242	7837	11513
243	7872	11485
244	7904	11453
245	7943	11431
246	7975	11398
247	8009	11368
248	8041	11335
249	8074	11304
250	8103	11267
251	8130	11228
252	8166	11200
253	8199	11169
254	8233	11139
255	8265	11107
256	8300	11077
257	8332	11044
258	8362	11009
259	8395	10978
260	8428	10947
261	8461	10916
262	8495	10886
263	8501	10820
264	8534	10788
265	8566	10756
266	8600	10725
267	8638	10701
268	8671	10670
269	8705	10639
270	8737	10607
271	8768	10574
272	8804	10545
273	8842	10520
274	8874	10488
275	8909	10458
276	8939	10424
277	8970	10389
278	9007	10363
279	9041	10332
280	9073	10300
281	9106	10268
282	9135	10232
283	9167	10200
284	9203	10171
285	9234	10138
286	9268	10107
287	9299	10074
288	9333	10044
289	9367	10013
290	9400	9982
291	9435	9952
292	9463	9915
293	9494	9882
294	9530	9853
295	9561	9819
296	9592	9786
297	9625	9754
298	9657	9721
299	9689	9689
300	9722	9657
301	9756	9626
302	9789	9595
303	9822	9563
304	9856	9533
305	9891	9503
306	9927	9474
307	9958	9441
308	9992	9410
309	10026	9380
310	10059	9348
311	10092	9315
312	10124	9283
313	10159	9253
314	10196	9225
315	10229	9193
316	10263	9162
317	10297	9131
318	10326	9096
319	10359	9064
320	10392	9032
321	10424	8999
322	10458	8968
323	10489	8935
324	10523	8904
325	10557	8873
326	10582	8835
327	10615	8802
328	10645	8769
329	10673	8732
330	10705	8699
331	10737	8667
332	10771	8636
333	10806	8606
334	10836	8572
335	10869	8540
336	10902	8508
337	10935	8476
338	10967	8444
339	11004	8415
340	11036	8382
341	11069	8350
342	11100	8317
343	11133	8285
344	11165	8252
345	11196	8219
346	11228	8186
347	11266	8158
348	11298	8125
349	11334	8095
350	11368	8064
351	11399	8031
352	11433	8000
353	11464	7966
354	11500	7936
355	11532	7904
356	11562	7870
357	11595	7838
358	11626	7805
359	11660	7773
360	11691	7740
361	11723	7707
362	11757	7676
363	11787	7642
364	11824	7613
365	11855	7579
366	11890	7549
367	11921	7515
368	11954	7483
369	11985	7450
370	12010	7413
371	12042	7380
372	12074	7348
373	12108	7316
374	12142	7285
375	12173	7252
376	12206	7220
377	12239	7188
378	12270	7155
379	12301	7121
380	12336	7090
381	12368	7058
382	12398	7024
383	12429	6991
384	12462	6959
385	12497	6928
386	12527	6894
387	12558	6861
388	12594	6831
389	12626	6798
390	12661	6768
391	12693	6735
392	12723	6701
393	12753	6668
394	12784	6634
395	12821	6604
396	12852	6571
397	12885	6539
398	12919	6508
399	12956	6478
400	12988	6445
401	13020	6412
402	13056	6382
403	13083	6347
404	13114	6314
405	13147	6282
406	13182	6251
407	13217	6219
408	13247	6186
409	13284	6156
410	13320	6125
411	13355	6094
412	13386	6061
413	13419	6028
414	13450	5995
415	13482	5963
416	13515	5931
417	13545	5898
418	13576	5864
419	13607	5831
420	13640	5799
421	13673	5767
422	13706	5735
423	13743	5704
424	13774	5672
425	13809	5640
426	13840	5607
427	13871	5574
428	13903	5541
429	13934	5508
430	13966	5476
431	14000	5444
432	14033	5412
433	14066	5380
434	14098	5347
435	14127	5313
436	14160	5281
437	14192	5249
438	14225	5216
439	14259	5185
440	14291	5152
441	14325	5120
442	14361	5089
443	14395	5057
444	14428	5025
445	14459	4992
446	14491	4960
447	14528	4929
448	14560	4896
449	14593	4864
450	14625	4831
451	14659	4799
452	14689	4766
453	14724	4735
454	14758	4703
455	14788	4670
456	14821	4637
457	14856	4606
458	14893	4575
459	14925	4542
460	14958	4510
461	14991	4477
462	15024	4445
463	15058	4413
464	15093	4381
465	15127	4349
466	15160	4317
467	15192	4285
468	15225	4252
469	15257	4220
470	15290	4187
471	15324	4155
472	15352	4122
473	15384	4089
474	15416	4056
475	15448	4024
476	15475	3990
477	15481	3951
478	15511	3918
479	15538	3884
480	15570	3852
481	15589	3816
482	15623	3784
483	15657	3752
484	15693	3721
485	15735	3691
486	15770	3659
487	15805	3627
488	15842	3596
489	15873	3563
490	15916	3533
491	15949	3501
492	15985	3469
493	16015	3436
494	16046	3403
495	16080	3371
496	16114	3339
497	16147	3307
498	16183	3275
499	16221	3244
500	16253	3211
501	16285	3179
502	16320	3147
503	16352	3114
504	16387	3082
505	16420	3050
506	16451	3017
507	16482	2985
